https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1636866000000,2021-11-14 05:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99990000,2108379.00000000,2108083.35300000,763
1636862400000,2021-11-14 04:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,1355831.00000000,1355639.52010000,679
1636858800000,2021-11-14 03:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,1937901.00000000,1937636.44890000,902
1636855200000,2021-11-14 02:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99980000,3066425.00000000,3065948.07640000,1114
1636851600000,2021-11-14 01:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,1921801.00000000,1921491.40030000,1035
1636848000000,2021-11-14 00:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99980000,1979578.00000000,1979292.00920000,1094
1636844400000,2021-11-13 23:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,1424579.00000000,1424388.82820000,920
1636840800000,2021-11-13 22:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99990000,2384239.00000000,2383928.28810000,1191
1636837200000,2021-11-13 21:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,2319630.00000000,2319232.22290000,1311
1636833600000,2021-11-13 20:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,2017556.00000000,2017234.41740000,1246
1636830000000,2021-11-13 19:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,1987200.00000000,1986924.48820000,1191
1636826400000,2021-11-13 18:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,3938710.00000000,3938172.27860000,1350
1636822800000,2021-11-13 17:00:00,USDC/USDT,0.99990000,0.99990000,0.99980000,0.99980000,6124323.00000000,6123544.86890000,2072
1636819200000,2021-11-13 16:00:00,USDC/USDT,0.99990000,1.00000000,0.99980000,0.99990000,4525822.00000000,4525424.81890000,1845
1636815600000,2021-11-13 15:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,3934883.00000000,3934619.51840000,1859
1636812000000,2021-11-13 14:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,5712952.00000000,5712581.84490000,2186
1636808400000,2021-11-13 13:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,2864608.00000000,2864419.96370000,1655
1636804800000,2021-11-13 12:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,3590707.00000000,3590524.93260000,1483
1636801200000,2021-11-13 11:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,3326501.00000000,3326229.76180000,1498
1636797600000,2021-11-13 10:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,5653140.00000000,5652731.03020000,1579
1636794000000,2021-11-13 09:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,3471395.00000000,3471129.91240000,1716
1636790400000,2021-11-13 08:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,2367391.00000000,2367267.79140000,1254
1636786800000,2021-11-13 07:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,2914706.00000000,2914604.60550000,1068
1636783200000,2021-11-13 06:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,0.99990000,4483954.00000000,4483679.53430000,1123
1636779600000,2021-11-13 05:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,6142852.00000000,6142666.01530000,1020
1636776000000,2021-11-13 04:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,4895955.00000000,4895793.56740000,924
1636772400000,2021-11-13 03:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,1.00000000,2800297.00000000,2800184.74630000,1226
1636768800000,2021-11-13 02:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,2510185.00000000,2510069.93380000,1341
1636765200000,2021-11-13 01:00:00,USDC/USDT,1.00000000,1.00000000,0.99990000,0.99990000,2966599.00000000,2966454.17390000,1394
1636761600000,2021-11-13 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,2195586.00000000,2195444.26080000,1223
1636758000000,2021-11-12 23:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,1860071.00000000,1859954.72280000,1170
1636754400000,2021-11-12 22:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,2444575.00000000,2444453.58070000,1640
1636750800000,2021-11-12 21:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,4010197.00000000,4009957.51740000,2036
1636747200000,2021-11-12 20:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,0.99990000,4275164.00000000,4274921.88910000,1867
1636743600000,2021-11-12 19:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,3624717.00000000,3624485.37050000,1694
1636740000000,2021-11-12 18:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,7104646.00000000,7104114.13090000,2484
1636736400000,2021-11-12 17:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,1.00000000,9818851.00000000,9819034.92640000,2942
1636732800000,2021-11-12 16:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,7528020.00000000,7528413.29030000,2883
1636729200000,2021-11-12 15:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,6741592.00000000,6741990.59840000,2175
1636725600000,2021-11-12 14:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00010000,4576098.00000000,4576289.95470000,2359
1636722000000,2021-11-12 13:00:00,USDC/USDT,1.00010000,1.00010000,1.00000000,1.00010000,5329629.00000000,5329871.47470000,2606
1636718400000,2021-11-12 12:00:00,USDC/USDT,1.00000000,1.00010000,1.00000000,1.00000000,6692357.00000000,6692596.31720000,2438
1636714800000,2021-11-12 11:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,1.00000000,5673450.00000000,5673318.26350000,2078
1636711200000,2021-11-12 10:00:00,USDC/USDT,0.99990000,1.00000000,0.99990000,1.00000000,9359949.00000000,9359747.69790000,2690
1636707600000,2021-11-12 09:00:00,USDC/USDT,0.99980000,1.00000000,0.99970000,1.00000000,11267049.00000000,11265530.76470000,2966
1636704000000,2021-11-12 08:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,10019118.00000000,10016942.36480000,2458
1636700400000,2021-11-12 07:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,4690427.00000000,4689335.44320000,1719
1636696800000,2021-11-12 06:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,3741779.00000000,3740913.10350000,1332
1636693200000,2021-11-12 05:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,5179843.00000000,5178666.32320000,1511
1636689600000,2021-11-12 04:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99970000,2529689.00000000,2529059.30450000,1199
1636686000000,2021-11-12 03:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99980000,3557157.00000000,3556237.13260000,1182
1636682400000,2021-11-12 02:00:00,USDC/USDT,0.99980000,0.99980000,0.99970000,0.99970000,3048463.00000000,3047701.12140000,1221
1636678800000,2021-11-12 01:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,4560509.00000000,4559324.75270000,1689
1636675200000,2021-11-12 00:00:00,USDC/USDT,0.99940000,0.99980000,0.99940000,0.99980000,9059369.00000000,9055653.67880000,1951
1636671600000,2021-11-11 23:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99940000,4011594.00000000,4009409.85670000,1533
1636668000000,2021-11-11 22:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99940000,2513662.00000000,2512285.00100000,1520
1636664400000,2021-11-11 21:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99950000,4207841.00000000,4205561.62650000,1847
1636660800000,2021-11-11 20:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99940000,4884034.00000000,4881383.17810000,1701
1636657200000,2021-11-11 19:00:00,USDC/USDT,0.99940000,0.99950000,0.99940000,0.99940000,2779953.00000000,2778455.44470000,1739
1636653600000,2021-11-11 18:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99950000,5152865.00000000,5150140.72730000,1873
